"","frasi","anger","anticipation","disgust","fear","joy","sadness","surprise","trust","negative","positive"
"94","Devi scegliere fra i ragazzi"" chiede Tyler.""Mattia"" rispondo senza pensarci due volte.",0,0,0,0,0,0,0,0,0,1
"95","Sono tutti dei bei ragazzi, questo bisogna ammetterlo, ma il più bello è sicuramente Matt.",0,1,0,0,1,1,1,2,0,2
"96","Non ho la minima intenzione di dargli questa soddisfazione, quindi preferisco dire il nome del ragazzo dalle origini italiane.",0,0,1,0,0,0,0,0,1,0
"97","Il gioco continua e per un attimo incrocio lo sguardo di Matt, perché mi sta fissando?""",0,1,0,0,0,0,1,0,1,0
"98","Hai detto una bugia prima"" mima con le labbra per poi rivolgermi un sorriso superbo e quasi strafottente.",1,1,1,0,2,1,2,3,1,3
"99","Mi limito a guardarlo alzando un sopracciglio, decido di continuare a comportarmi in modo maturo.",0,1,0,0,0,0,0,1,0,2
"100","Adesso è il  turno di Quinton che sceglie verità.",0,0,0,0,0,0,0,0,0,0
"101","""Quale ragazza baceresti qua in mezzo?"" gli domanda Mattia.""Melissa"" risponde lui facendo spallucce, la mia testa si volta di scatto nella sua direzione.",1,0,0,0,0,0,0,0,1,1
"102","""Perché Violet e Addi sono mie amiche da tanto, sarebbe strano baciare loro due"" lui si giustifica ridacchiando.",0,0,1,0,0,0,0,0,1,0
"103","Ora è il turno di Addison.""Bacia Tyler"" le ordine Violet mentre le rivolge un‘occhiata di intesa.",0,0,0,0,0,0,0,0,0,1
"104","I ragazzi vanno in una camera e tornano un paio di minuti dopo.",0,0,0,0,0,0,0,0,0,0
"105","Dall‘enorme sorriso di Addison deduco che si siano baciati davvero, anche il ragazzo al suo fianco sembra essere piuttosto di buonumore.",0,1,1,0,2,0,2,2,1,2
"106","""Addison sembri felice"" la stuzzica Quinton.""Ma è stato un bacio così per gioco"" ride Tyler, vedo il sorriso di Addison che si spegne.",0,4,0,0,4,0,4,3,1,4
"107","Tocca a Matt che ovviamente sceglie obbligo, inutile dire che me lo sarei aspetta da lui.""Scegli una ragazza e baciala"" lo sfida Tyler.",2,0,1,2,0,0,0,0,3,0
"108","Matt ci guarda una ad una e ferma i suoi occhi di ghiaccio su di me, mi auguro che non stia pensando di baciare me.""Andiamo?"" se ne esce poi, più che una domanda pare essere un ordine.",2,0,1,0,0,0,0,0,2,2
"109","""Anche no"" faccio spallucce, ma i ragazzi iniziano a lamentarsi quasi in coro sostenendo che si tratta soltanto di un gioco e che non sono costretta a baciarlo una volta entrata in stanza.",1,1,0,0,1,1,1,1,3,2
"110","""Vai lì e non baciarlo, così non vai contro le regole del gioco"" mi spiega Tyler.",1,1,0,0,0,0,1,0,2,0
"111","Decido di non essere la guastafeste di turno perciò mi alzo e lo seguo nella camera dove prima si sono chiusi Addison e il ragazzo dai capelli chiari.",0,0,1,0,0,0,0,0,1,0
"112","""Non dobbiamo baciarci per forza"" lo provoco facendo eco alle parole del biondo.""È solo un bacio non significa niente, poi hai detto che ti piace Mattia no?"" a quanto pare ha sempre la risposta pronta questo ragazzo.",2,1,1,1,1,0,1,2,4,2
"113","Non mi lascia il tempo di rispondere che mi prende per i fianchi e mi bacia prima a stampo, poi tenta di approfondire il bacio.",0,2,0,0,1,0,1,0,0,1
"114","Le sue labbra si muovono sulle mie portandomi a lasciargli l‘accesso alla mia bocca, le nostre lingue si incontrano soltanto per qualche breve istante.",0,0,0,0,0,0,1,0,0,0
"115","Si stacca da me e mi guarda con il suo solito sorriso strafottente.",0,1,0,0,2,0,2,3,0,3
"116","Perché mi sono lasciata baciare da lui con così tanta facilità?""",0,0,0,0,0,0,0,0,0,0
"117","Vedo che ti è piaciuto, ne vuoi un altro?"" mi stuzzica ancora una volta.",0,0,0,0,0,0,0,0,0,1
"118","""In realtà non baci così bene"" gli rispondo a tono, ma lui mi rivolge solamente un sorriso malizioso senza dire nulla.",0,1,0,0,2,0,2,2,1,2
"119","Almeno posso dire di aver avuto io l‘ultima parola.",0,0,0,0,0,0,0,1,0,1
"120","Torniamo in salone sotto lo sguardo curioso degli altri, ma, per mia fortuna, nessuno dice o chiede nulla.",0,2,0,0,3,0,3,1,1,4
"121","Ci rimettiamo a giocare facendo finta di niente e proseguiamo a farlo per almeno un‘altra ora.",0,0,0,0,0,0,0,0,0,0
"122","I ragazzi mi chiedono anche  il mio numero e mi aggiungono al loro gruppo in modo tale da poter restare in contatto con tutti loro.",0,0,0,0,0,0,0,0,1,1
"123","Decidiamo di restare sul divano a chiacchierare  tutto insieme ancora un po‘ però, quando ci rendiamo conto è davvero tardi, noi ragazze torniamo in camera nostra per riposarci in vista delle lezioni.",0,0,0,0,0,1,0,3,0,2
"124","Mi spoglio e faccio una doccia rapida, dopodiché mi metto a letto.",0,0,0,0,0,0,0,0,1,0
"125","Domani avrò la mia prima lezione e sono piuttosto emozionata di scoprire come funziona il college:",0,3,0,0,0,0,1,1,0,1
"126","credo che vi siano svariate differenze rispetto alle università italiane.",0,1,0,0,1,0,0,1,0,1
"127","Non so perché, ma comincio a pensare al bacio di Matt.",0,1,0,0,1,0,1,0,0,1
"128","In realtà mi è quasi piaciuto baciarlo, ma non penso proprio che gli darò mai la soddisfazione di saperlo.",0,0,0,0,0,0,0,0,0,0
"129","Mi addormento pensando a quel ragazzo strafottente con gli occhi ghiaccio e la cosa non va affatto bene.",0,0,1,0,0,0,0,0,1,0
"130","Mi sveglio nella mia nuova stanza, ancora mi sembra tutto così surreale.",0,0,0,0,0,0,0,0,0,1
"131","Mi pare di star vivendo un sogno:",0,0,0,0,0,0,0,0,0,0
"132","fin da piccola ho sempre immaginato di venire a vivere qui in America, ma mai avrei creduto che ci sarei riuscita davvero.",0,0,0,0,0,0,0,1,0,0
"133","Dopo aver fatto una doccia piuttosto veloce e essermi vestita con un paio di leggins e una felpa azzurra oversize, vado in cucina per fare colazione insieme a Addison e Violet.",0,0,0,0,0,0,1,2,1,4
"134","Una volta finito di mangiare, le due mie nuove amiche mi accompagnano in segreteria per ritirare il mio orario delle lezioni.",0,0,0,0,0,1,0,0,1,1
"135","Purtroppo non ho nessuna lezione in comune con loro perché il loro indirizzo di specializzazione è giurisprudenza, mentre io ho scelto di studiare economia.",0,1,0,0,0,2,0,2,1,2
"136","Mentre mi avvio da sola verso l‘edificio dove si dovrebbe svolgere la prima lezione, sento qualcuno che mi tocca la spalla.",0,1,0,0,0,0,0,2,0,2
"137","Mi volto di scatto e incontro un paio di occhi scuri che ormai mi sono quasi famigliari.",1,0,0,0,0,0,0,0,1,0
"138","""Ciao Melissa che indirizzo hai scelto tu ?"" domanda Mattia.""Economia, invece tu che cosa studi qui?"" chiedo anche io, a questo punto mi auguro che frequenti il mio stesso corso perché non mi piace l‘idea di seguire tutte le lezioni da sola.",1,0,0,0,0,0,0,1,1,2
"139","""Anche io, hai appena conosciuto uno dei tuoi nuovi compagni di classe"" esclama riferendosi palesemente a se stesso, non mi dispiace affatto passare del tempo in sua compagnia.",0,1,0,0,0,0,0,0,0,0
"140","Entriamo in un‘aula grandissima piena di banchi disposti su un‘alta gradinata, penso proprio che vi sia almeno un centinaio di studenti qua dentro.",0,0,0,0,0,0,0,0,0,0
"141","Decidiamo di prendere posto fra le ultime file dove ci sono svariate sedie ancora libere.""Hey Mattia!"" qualcuno lo saluta, mi giro in direzione della voce appena udita e mi rendo conto che si tratta di Ryan, un altro dei ragazzi che ho conosciuto proprio ieri sera.",0,0,0,0,0,0,0,1,0,1
"142","""Ciao Melissa, anche tu economia?"" aggiunge subito dopo il ragazzo mentre prende posto accanto a Mattia.",0,1,1,0,0,0,1,1,2,1
"143","Una figura alta e dalle spalle piuttosto larghe attira la mia attenzione:",0,0,0,0,0,0,0,0,0,1
"144","osservo Matt che varca la soglia dell‘aula attirando a sé lo sguardo della maggior parte delle studentesse presenti.",0,0,0,0,0,0,0,0,0,0
"145","Deduco che anche lui frequenti questo corso di studi: e io che pensavo di essere sola.",0,0,0,0,0,0,0,0,0,0
"146","""Buongiorno pensavo di essere in ritardo, mi sono svegliato da dieci minuti"" dice Matt mentre si mette proprio al mio fianco.",1,0,1,1,0,1,0,0,4,0
"147","Si sarà anche svegliato da dieci minuti, ma ha i capelli già perfettamente pettinati e il suo profumo di muschio e menta si sentirebbe anche da chilometri di distanza.",0,0,0,0,0,0,0,0,0,0
"148","Osservo che vestito con un paio di jeans neri strappati e una t - shirt bianca che lascia intravedere i suoi tatuaggi, mi sembra di riuscire a scorgerne parecchi.""Hai intenzione di fissarmi ancora per molto?"" mi domanda il ragazzo dai capelli scuri con il suo solito modo di fare provocatorio.",2,0,1,0,0,0,0,1,3,3
"149","""Non ti stavo fissando"" sbuffo io negando l‘evidenza.",0,1,0,0,0,0,0,0,1,0
"150","Durante la lezione Matt continua a stuzzicarmi senza sosta, ma io cerco di rimanere concentrata su economia politica e di non lasciarmi distrarre dalle sue stupide battute.",1,1,0,0,0,0,0,3,1,1
"151","Dopo aver assistito anche alla lezione di macroeconomia, i ragazzi mi propongono di fermarmi a pranzo con loro e io ovviamente accetto.",0,1,0,0,0,0,0,1,0,1
"152","Ci rechiamo in un bar accanto all‘edificio dove si sono tenute le lezioni e prendiamo posto a uno dei tanti tavolini in legno qui fuori.""I",0,0,0,0,0,0,0,0,0,0
"153","Lopez mi hanno dato otto inviti per la loro festa sabato, andiamo?"" chiede Ryan rivolgendosi a tutto il gruppo.",0,1,0,0,1,0,1,0,1,1
"154","Tutti ne sembrano piuttosto entusiasti, solo io non ho la minima idea di che cosa stiano parlando.",0,0,0,0,0,0,0,0,0,0
"155","""Ci saranno anche Addi e Violet sicuramente, vieni anche tu?"" mi domanda Mattia cercando di includermi nella conversazione.",1,0,0,0,0,0,0,1,1,1
"156","""Certo!"" rispondo, devo ammettere che sono molto curiosa di scoprire come siano le feste qui.",0,0,0,0,0,0,1,0,0,0
"157","Penso che sia tutto diverso dalle serate nei locali a cui sono abituata, ma non mi resta altro da fare che constatarlo con i miei stessi occhi.",0,0,0,0,0,0,0,0,1,1
"158","""Qua le feste sono tutta un‘altra storia!"" Ryan sembra leggermi nel pensiero.",0,1,0,0,0,0,0,0,0,0
"159","Dopo pranzo torniamo nel nostro palazzo, saluto i ragazzi e mi ritiro nel mio appartamento con l‘intenzione di risistemare i miei appunti.",0,1,0,1,2,1,0,1,1,2
